101,John,85,90,78
102,Alice,88,abc,92
103,Bob,70,65
104,,80,85,90
105,Emily,95,100,98
106,David,101,88,95
107,Mary,88,-5,90
108,Steve,85,85,85
109,Linda,88,90,92
110,Chris,75,72.5,69.8
111, ,67,70,65
112,Nancy,abc,90,85
113,Mark,55,60,65
114,Tina,88,95,102
115,Alex,90,88
116,Rachel,93,91,89
117,Tom,76,82,79
118,Jack,77,,88
119,Zoe,85,85,abc
120, , , ,
121,Eva,85,89,92
122,Luke,80,70,60
123,Sam,90,100,110
124,Danny,78,82,75
125,Mona,abc,85,80
126,Peter,67,70,73
127,Amy,90,85,88
128,Jeff,89,91,95
129,Carol,95,90,invalid
130,Kate,65,60
131,Daniel,70,72,68
132,Olivia,80,90,abc
133,Brian,85,95,88
134,Sara,92,90,91
135,Jake,100,99,101
136,Nina,50,45,40
137,Adam,,90,85
138,Maya,76,80,78
139,Ian,65,60
140,Rita,abc,95,90
141,Leo,78,88,82
142,Karen,70,69,65
143,Owen,85,89,92
144,Paula,77,79,81
145,Troy,101,102,103
146,Anna,80,85,87
147,Phil,88, ,90
148,Chloe,90,90,90
149,Sean,75,80,invalid
150,Julie,95,94,93
